"filename", "language", "XML", "C#", "JSON", "Properties", "comment", "blank", "total"
"c:\Users\herma\source\repos\SistemaVenta\App\.vs\SistemaVenta\v17\DocumentLayout.json", "JSON", 0, 0, -33, 0, 0, 0, -33
"c:\Users\herma\source\repos\SistemaVenta\App\Entidad\Compra.cs", "C#", 0, 0, 0, 0, 0, 1, 1
"c:\Users\herma\source\repos\SistemaVenta\App\Test\MSTestSettings.cs", "C#", 0, 1, 0, 0, 0, 1, 2
"c:\Users\herma\source\repos\SistemaVenta\App\Test\Test.csproj", "XML", 21, 0, 0, 0, 0, 6, 27
"c:\Users\herma\source\repos\SistemaVenta\App\Test\TestCompra.cs", "C#", 0, 14, 0, 0, 0, 3, 17
"c:\Users\herma\source\repos\SistemaVenta\App\Test\TestProducto.cs", "C#", 0, 49, 0, 0, 0, 9, 58
"c:\Users\herma\source\repos\SistemaVenta\App\Test\TestUsuario.cs", "C#", 0, 40, 0, 0, 0, 10, 50
"c:\Users\herma\source\repos\SistemaVenta\App\Test\TestVenta.cs", "C#", 0, 13, 0, 0, 0, 3, 16
"c:\Users\herma\source\repos\SistemaVenta\App\Test\bin\Debug\net8.0\Microsoft.VisualStudio.TestPlatform.TestFramework.Extensions.xml", "XML", 174, 0, 0, 0, 0, 1, 175
"c:\Users\herma\source\repos\SistemaVenta\App\Test\bin\Debug\net8.0\Test.deps.json", "JSON", 0, 0, 1495, 0, 0, 0, 1495
"c:\Users\herma\source\repos\SistemaVenta\App\Test\bin\Debug\net8.0\Test.runtimeconfig.json", "JSON", 0, 0, 12, 0, 0, 0, 12
"c:\Users\herma\source\repos\SistemaVenta\App\Test\obj\Debug\net8.0\.NETCoreApp,Version=v8.0.AssemblyAttributes.cs", "C#", 0, 3, 0, 0, 1, 1, 5
"c:\Users\herma\source\repos\SistemaVenta\App\Test\obj\Debug\net8.0\Test.AssemblyInfo.cs", "C#", 0, 9, 0, 0, 10, 5, 24
"c:\Users\herma\source\repos\SistemaVenta\App\Test\obj\Debug\net8.0\Test.GeneratedMSBuildEditorConfig.editorconfig", "Properties", 0, 0, 0, 15, 0, 1, 16
"c:\Users\herma\source\repos\SistemaVenta\App\Test\obj\Debug\net8.0\Test.GlobalUsings.g.cs", "C#", 0, 8, 0, 0, 1, 1, 10
"c:\Users\herma\source\repos\SistemaVenta\App\Test\obj\Debug\net8.0\Test.sourcelink.json", "JSON", 0, 0, 1, 0, 0, 0, 1
"c:\Users\herma\source\repos\SistemaVenta\App\Test\obj\Test.csproj.nuget.dgspec.json", "JSON", 0, 0, 134, 0, 0, 0, 134
"c:\Users\herma\source\repos\SistemaVenta\App\Test\obj\Test.csproj.nuget.g.props", "XML", 28, 0, 0, 0, 0, 0, 28
"c:\Users\herma\source\repos\SistemaVenta\App\Test\obj\Test.csproj.nuget.g.targets", "XML", 10, 0, 0, 0, 0, 0, 10
"c:\Users\herma\source\repos\SistemaVenta\App\Test\obj\project.assets.json", "JSON", 0, 0, 3988, 0, 0, 0, 3988
"Total", "-", 233, 137, 5597, 15, 12, 42, 6036
