"filename", "language", "XML", "C#", "JSON", "Properties", "HTML", "Markdown", "MS SQL", "comment", "blank", "total"
"c:\Users\herma\source\repos\SistemaVenta\App\.vs\SistemaVenta\v17\DocumentLayout.backup.json", "JSON", 0, 0, 53, 0, 0, 0, 0, 0, 0, 53
"c:\Users\herma\source\repos\SistemaVenta\App\.vs\SistemaVenta\v17\DocumentLayout.json", "JSON", 0, 0, 53, 0, 0, 0, 0, 0, 0, 53
"c:\Users\herma\source\repos\SistemaVenta\App\Database\DB.sql", "MS SQL", 0, 0, 0, 0, 0, 0, 1299, 3, 54, 1356
"c:\Users\herma\source\repos\SistemaVenta\App\Datos\CapaDatos.cs", "C#", 0, 1775, 0, 0, 0, 0, 0, 20, 132, 1927
"c:\Users\herma\source\repos\SistemaVenta\App\Datos\Datos.csproj", "XML", 54, 0, 0, 0, 0, 0, 0, 0, 0, 54
"c:\Users\herma\source\repos\SistemaVenta\App\Datos\Properties\AssemblyInfo.cs", "C#", 0, 15, 0, 0, 0, 0, 0, 17, 5, 37
"c:\Users\herma\source\repos\SistemaVenta\App\Datos\obj\Debug\.NETFramework,Version=v4.7.2.AssemblyAttributes.cs", "C#", 0, 3, 0, 0, 0, 0, 0, 1, 1, 5
"c:\Users\herma\source\repos\SistemaVenta\App\Datos\obj\Release\.NETFramework,Version=v4.7.2.AssemblyAttributes.cs", "C#", 0, 3, 0, 0, 0, 0, 0, 1, 1, 5
"c:\Users\herma\source\repos\SistemaVenta\App\Entidad\Categoria.cs", "C#", 0, 15, 0, 0, 0, 0, 0, 0, 3, 18
"c:\Users\herma\source\repos\SistemaVenta\App\Entidad\Cliente.cs", "C#", 0, 19, 0, 0, 0, 0, 0, 0, 2, 21
"c:\Users\herma\source\repos\SistemaVenta\App\Entidad\Compra.cs", "C#", 0, 20, 0, 0, 0, 0, 0, 0, 3, 23
"c:\Users\herma\source\repos\SistemaVenta\App\Entidad\Detalle_Compra.cs", "C#", 0, 18, 0, 0, 0, 0, 0, 0, 2, 20
"c:\Users\herma\source\repos\SistemaVenta\App\Entidad\Detalle_Venta.cs", "C#", 0, 18, 0, 0, 0, 0, 0, 0, 2, 20
"c:\Users\herma\source\repos\SistemaVenta\App\Entidad\Entidad.csproj", "XML", 67, 0, 0, 0, 0, 0, 0, 0, 0, 67
"c:\Users\herma\source\repos\SistemaVenta\App\Entidad\Inventario.cs", "C#", 0, 19, 0, 0, 0, 0, 0, 0, 2, 21
"c:\Users\herma\source\repos\SistemaVenta\App\Entidad\Negocio.cs", "C#", 0, 17, 0, 0, 0, 0, 0, 0, 2, 19
"c:\Users\herma\source\repos\SistemaVenta\App\Entidad\Oferta.cs", "C#", 0, 19, 0, 0, 0, 0, 0, 0, 2, 21
"c:\Users\herma\source\repos\SistemaVenta\App\Entidad\Permiso.cs", "C#", 0, 14, 0, 0, 0, 0, 0, 0, 2, 16
